epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,46926,0.35451,0.24865,0.79748,0.9849,0.99052,0.9917,0.96586,0.29373,0.1522,0.7826,0.004324,0.004324,0.004324
88,3592.3,0.3198,0.20417,0.7921,0.98574,0.99003,0.99168,0.96595,0.29373,0.1522,0.78259,0.004258,0.004258,0.004258
89,6227.95,0.32717,0.21,0.7917,0.98506,0.99036,0.99166,0.96594,0.29369,0.15223,0.78257,0.004192,0.004192,0.004192
90,8876.57,0.32984,0.21363,0.79317,0.98497,0.99048,0.99167,0.96591,0.29369,0.15226,0.78257,0.004126,0.004126,0.004126
91,11019.5,0.33139,0.21603,0.79255,0.98494,0.99062,0.99166,0.96599,0.29361,0.15231,0.78256,0.00406,0.00406,0.00406
92,12852.4,0.33414,0.21921,0.79407,0.98492,0.99088,0.99165,0.96593,0.29359,0.1523,0.78255,0.003994,0.003994,0.003994
93,14936.4,0.33572,0.22127,0.79327,0.98524,0.99023,0.99164,0.96596,0.29358,0.15242,0.78256,0.003928,0.003928,0.003928
94,16834.6,0.33824,0.22573,0.79486,0.98522,0.99014,0.99164,0.96606,0.29348,0.15229,0.78254,0.003862,0.003862,0.003862
95,18571.4,0.34179,0.23174,0.7949,0.98514,0.99019,0.99164,0.96607,0.29346,0.15224,0.78253,0.003796,0.003796,0.003796
96,20382.7,0.34304,0.23336,0.7964,0.98498,0.99053,0.99164,0.96612,0.2934,0.15218,0.78252,0.00373,0.00373,0.00373
97,22304.8,0.34236,0.2339,0.79555,0.98479,0.99073,0.99164,0.96609,0.29332,0.15207,0.78249,0.003664,0.003664,0.003664
98,24292.7,0.34413,0.23327,0.79634,0.98462,0.99077,0.99165,0.96621,0.29324,0.15199,0.78246,0.003598,0.003598,0.003598
99,26178.7,0.34267,0.2344,0.79565,0.98498,0.99046,0.99164,0.96625,0.29315,0.15194,0.78244,0.003532,0.003532,0.003532
100,28438.5,0.34216,0.23585,0.79595,0.98476,0.99074,0.99165,0.96631,0.29302,0.15189,0.78241,0.003466,0.003466,0.003466
101,30367,0.34507,0.23661,0.79569,0.98465,0.99077,0.99166,0.96636,0.29292,0.15181,0.78239,0.0034,0.0034,0.0034
102,32107.8,0.34243,0.23279,0.79597,0.98495,0.99071,0.99168,0.96646,0.29284,0.15171,0.78238,0.003334,0.003334,0.003334
103,33995.5,0.34427,0.23565,0.79615,0.98501,0.99065,0.99168,0.9665,0.29275,0.15163,0.78235,0.003268,0.003268,0.003268
104,35906.1,0.34235,0.23573,0.79663,0.98473,0.99086,0.99168,0.96648,0.29263,0.15155,0.78233,0.003202,0.003202,0.003202
105,38098.2,0.34186,0.23373,0.79646,0.98472,0.99089,0.99169,0.9666,0.29252,0.15142,0.78232,0.003136,0.003136,0.003136
